1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.8398e+08,3.5252e+07,0,0,0,2.1485e+07,0,0,0,0,0,0,0,0,0
0,3.5252e+07,1.8398e+08,3.5252e+07,0,0,0,2.1485e+07,0,0,0,0,0,0,0,0
0,0,3.5252e+07,1.8398e+08,3.5252e+07,0,0,0,2.1485e+07,0,0,0,0,0,0,0
0,0,0,3.5252e+07,1.1347e+08,0,0,0,0,2.1485e+07,0,0,0,0,0,0
0,0,0,0,0,7.0504e+07,3.5252e+07,0,0,0,0,0,0,0,0,0
0,2.1485e+07,0,0,0,3.5252e+07,2.2265e+08,3.5252e+07,0,0,0,1.9337e+07,0,0,0,0
0,0,2.1485e+07,0,0,0,3.5252e+07,2.2265e+08,3.5252e+07,0,0,0,1.9337e+07,0,0,0
0,0,0,2.1485e+07,0,0,0,3.5252e+07,1.8398e+08,3.5252e+07,0,0,0,0,0,0
0,0,0,0,2.1485e+07,0,0,0,3.5252e+07,1.1347e+08,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7.0504e+07,3.5252e+07,0,0,0,0
0,0,0,0,0,0,1.9337e+07,0,0,0,3.5252e+07,2.1835e+08,3.5252e+07,0,1.9337e+07,0
0,0,0,0,0,0,0,1.9337e+07,0,0,0,3.5252e+07,1.4785e+08,0,0,1.9337e+07
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1.9337e+07,0,0,1.7968e+08,3.5252e+07
0,0,0,0,0,0,0,0,0,0,0,0,1.9337e+07,0,3.5252e+07,1.0918e+08
